Backbone,Method,r,beta,Top1,Top5,GFLOPs,FLOPs_Reduction,Final_Tokens,E2E_Throughput,Model_Throughput_Mean,Model_Throughput_Median,Model_Throughput_Min,Model_Throughput_Max
ViT-L/16,Full,0,,85.6820,97.7420,61.6041,0.0000,197,219.6562,247.7400,247.6388,247.4924,248.1360
ViT-L/16,ToMe,4,,85.2160,97.4860,46.1459,25.0929,101,305.0404,318.5058,318.4798,318.3142,318.7705
ViT-L/16,Ours,4,0.0200,85.2740,97.5140,46.1459,25.0929,101,309.3503,315.1412,315.1996,314.9667,315.2809
ViT-L/16,ToMe,8,,83.2240,96.5980,30.9878,49.6986,7,461.4377,474.6628,474.6153,474.5394,474.8357
ViT-L/16,Ours,8,0.0550,83.2740,96.7140,30.9878,49.6986,7,455.2366,467.9761,467.9622,467.8569,468.1254
ViT-L/16,ToMe,12,,20.4100,31.9300,20.8936,66.0841,2,661.3825,682.4932,682.3870,682.1965,682.8895
ViT-L/16,Ours,12,0.0500,20.6240,31.9380,20.8936,66.0841,2,647.5485,670.8836,670.7076,670.1503,671.8114
