metric,direction,num_pairs,tome_mean,ours_mean,paired_improvement_ours_better,ci95_low,ci95_high,ours_win_count,ours_win_rate_percent,interpretation
LPIPS vs Full,lower is better,2000,0.38043665706925095,0.3802281752936542,0.00020848177559673787,-0.00048823744938708845,0.0008917769904248416,1001,50.05,overlaps zero
MS-SSIM vs Full,higher is better,2000,0.6466874957382679,0.6465686832517386,-0.00011881248652935028,-0.0007598329035565257,0.0005204987600445747,1011,50.55,overlaps zero
Quality distance score,lower is better,2000,0.733749161330983,0.7336594920419156,8.966928906738758e-05,-0.0011820637932047247,0.0013257052662316705,995,49.75,overlaps zero
