method,r,beta,images,aAcc,mAcc,mIoU,evaluated_classes,valid_pixels,elapsed_seconds,e2e_fps,throughput_mean,throughput_std,throughput_median,throughput_min,throughput_max,speedup,peak_memory_gb,memory_reduction,final_tokens,normalization,script_version
Full,0,0.0,2000,82.74235629851837,60.78939920870893,48.48330674874029,150,448102043,87.68155520000073,22.809814395262727,76.97409579497405,0.19373808143624774,76.94124729914338,76.78706138015744,77.29626132175098,1.0,0.5461063385009766,0.0,1025,vit,segmenter-tome-ours-ade20k-v1-20260607
ToMe,16,0.0,2000,82.69802844884597,60.67144895336142,48.54322859941473,150,448102043,91.82469950000086,21.780632127197773,47.527352397637955,4.373436386872667,48.818510987740545,40.23511214899015,51.661573557800516,0.6174460629486369,0.5463790893554688,-0.04994464177816895,833,vit,segmenter-tome-ours-ade20k-v1-20260607
Reliability-Guided,16,0.015,2000,82.70531228084582,60.630838152874865,48.514645255784366,150,448102043,122.69244279999839,16.300922488438925,44.47385337667887,4.392569770993841,43.508400926547825,42.68235485536689,48.01471013170168,0.5777768860726617,0.8718891143798828,-59.65555660334524,833,vit,segmenter-tome-ours-ade20k-v1-20260607
ToMe,32,0.0,2000,82.66074252198847,60.5894434314232,48.44358569046791,150,448102043,87.7294296,22.797366962477092,51.38531267753483,0.48661151173656814,51.43944741274084,50.76279590226749,52.06451500143794,0.6675663045708682,1.1968364715576172,-119.15813591229303,641,vit,segmenter-tome-ours-ade20k-v1-20260607
Reliability-Guided,32,0.035,2000,82.6935553605588,60.685345941381264,48.49860419348198,150,448102043,88.9362226000012,22.48802503109653,47.86738141604679,0.32830169007068355,47.83525612533024,47.423950901390825,48.32372934605937,0.6218635103365806,1.5217838287353516,-178.6607152212408,641,vit,segmenter-tome-ours-ade20k-v1-20260607
ToMe,48,0.0,2000,82.58066924278674,60.593197448863144,48.37049594207605,150,448102043,83.49481449999803,23.9535833689414,51.1591833822999,0.6653391211282694,50.99181634879049,50.54405504859652,52.29771264539156,0.6646285721701234,1.8472743034362793,-238.2627472347084,449,vit,segmenter-tome-ours-ade20k-v1-20260607
Reliability-Guided,48,0.05,2000,82.61433278044662,60.54984849630476,48.39550694774954,150,448102043,85.39266040000075,23.42121665528976,47.78402925328529,0.3926938507408948,47.7573126344559,47.42233666154159,48.432007834255636,0.6207806504224672,2.172764778137207,-297.864779248176,449,vit,segmenter-tome-ours-ade20k-v1-20260607
