method,image_name,full_path,method_path,lpips_vs_full,ms_ssim_vs_full
tome,class_0625_seed1_a_photo_of_a_lifeboat.png,generated/tome/class_0625_seed1_a_photo_of_a_lifeboat.png,generated/tome/class_0625_seed1_a_photo_of_a_lifeboat.png,0.2915542423725128,0.6744122505187988
tome,class_0626_seed0_a_photo_of_a_lighter.png,generated/tome/class_0626_seed0_a_photo_of_a_lighter.png,generated/tome/class_0626_seed0_a_photo_of_a_lighter.png,0.1702815443277359,0.8674172163009644
tome,class_0626_seed1_a_photo_of_a_lighter.png,generated/tome/class_0626_seed1_a_photo_of_a_lighter.png,generated/tome/class_0626_seed1_a_photo_of_a_lighter.png,0.38472703099250793,0.6578688621520996
tome,class_0627_seed0_a_photo_of_a_limousine.png,generated/tome/class_0627_seed0_a_photo_of_a_limousine.png,generated/tome/class_0627_seed0_a_photo_of_a_limousine.png,0.36819833517074585,0.6585215330123901
tome,class_0627_seed1_a_photo_of_a_limousine.png,generated/tome/class_0627_seed1_a_photo_of_a_limousine.png,generated/tome/class_0627_seed1_a_photo_of_a_limousine.png,0.13725930452346802,0.8915731906890869
tome,class_0628_seed0_a_photo_of_a_liner.png,generated/tome/class_0628_seed0_a_photo_of_a_liner.png,generated/tome/class_0628_seed0_a_photo_of_a_liner.png,0.1153930276632309,0.8806588053703308
tome,class_0628_seed1_a_photo_of_a_liner.png,generated/tome/class_0628_seed1_a_photo_of_a_liner.png,generated/tome/class_0628_seed1_a_photo_of_a_liner.png,0.5473526120185852,0.4187377095222473
tome,class_0629_seed0_a_photo_of_a_lipstick.png,generated/tome/class_0629_seed0_a_photo_of_a_lipstick.png,generated/tome/class_0629_seed0_a_photo_of_a_lipstick.png,0.14465540647506714,0.879610002040863
tome,class_0629_seed1_a_photo_of_a_lipstick.png,generated/tome/class_0629_seed1_a_photo_of_a_lipstick.png,generated/tome/class_0629_seed1_a_photo_of_a_lipstick.png,0.17381370067596436,0.8613104224205017
tome,class_0630_seed0_a_photo_of_a_Loafer.png,generated/tome/class_0630_seed0_a_photo_of_a_Loafer.png,generated/tome/class_0630_seed0_a_photo_of_a_Loafer.png,0.46496865153312683,0.604777455329895
tome,class_0630_seed1_a_photo_of_a_Loafer.png,generated/tome/class_0630_seed1_a_photo_of_a_Loafer.png,generated/tome/class_0630_seed1_a_photo_of_a_Loafer.png,0.40226489305496216,0.6115491986274719
tome,class_0631_seed0_a_photo_of_a_lotion.png,generated/tome/class_0631_seed0_a_photo_of_a_lotion.png,generated/tome/class_0631_seed0_a_photo_of_a_lotion.png,0.580660343170166,0.5262359976768494
tome,class_0631_seed1_a_photo_of_a_lotion.png,generated/tome/class_0631_seed1_a_photo_of_a_lotion.png,generated/tome/class_0631_seed1_a_photo_of_a_lotion.png,0.3497163653373718,0.756472110748291
tome,class_0632_seed0_a_photo_of_a_loudspeaker.png,generated/tome/class_0632_seed0_a_photo_of_a_loudspeaker.png,generated/tome/class_0632_seed0_a_photo_of_a_loudspeaker.png,0.6154077053070068,0.4552600383758545
tome,class_0632_seed1_a_photo_of_a_loudspeaker.png,generated/tome/class_0632_seed1_a_photo_of_a_loudspeaker.png,generated/tome/class_0632_seed1_a_photo_of_a_loudspeaker.png,0.3865140974521637,0.5051205158233643
tome,class_0633_seed0_a_photo_of_a_loupe.png,generated/tome/class_0633_seed0_a_photo_of_a_loupe.png,generated/tome/class_0633_seed0_a_photo_of_a_loupe.png,0.21630486845970154,0.7086445093154907
tome,class_0633_seed1_a_photo_of_a_loupe.png,generated/tome/class_0633_seed1_a_photo_of_a_loupe.png,generated/tome/class_0633_seed1_a_photo_of_a_loupe.png,0.3260691165924072,0.6237187385559082
tome,class_0634_seed0_a_photo_of_a_lumbermill.png,generated/tome/class_0634_seed0_a_photo_of_a_lumbermill.png,generated/tome/class_0634_seed0_a_photo_of_a_lumbermill.png,0.2836933135986328,0.707831621170044
tome,class_0634_seed1_a_photo_of_a_lumbermill.png,generated/tome/class_0634_seed1_a_photo_of_a_lumbermill.png,generated/tome/class_0634_seed1_a_photo_of_a_lumbermill.png,0.5383225083351135,0.44546088576316833
tome,class_0635_seed0_a_photo_of_a_magnetic_compass.png,generated/tome/class_0635_seed0_a_photo_of_a_magnetic_compass.png,generated/tome/class_0635_seed0_a_photo_of_a_magnetic_compass.png,0.22366054356098175,0.7246865034103394
tome,class_0635_seed1_a_photo_of_a_magnetic_compass.png,generated/tome/class_0635_seed1_a_photo_of_a_magnetic_compass.png,generated/tome/class_0635_seed1_a_photo_of_a_magnetic_compass.png,0.3281088173389435,0.6516157388687134
tome,class_0636_seed0_a_photo_of_a_mailbag.png,generated/tome/class_0636_seed0_a_photo_of_a_mailbag.png,generated/tome/class_0636_seed0_a_photo_of_a_mailbag.png,0.4819350242614746,0.522011399269104
tome,class_0636_seed1_a_photo_of_a_mailbag.png,generated/tome/class_0636_seed1_a_photo_of_a_mailbag.png,generated/tome/class_0636_seed1_a_photo_of_a_mailbag.png,0.43702051043510437,0.6876171827316284
tome,class_0637_seed0_a_photo_of_a_mailbox.png,generated/tome/class_0637_seed0_a_photo_of_a_mailbox.png,generated/tome/class_0637_seed0_a_photo_of_a_mailbox.png,0.5404617190361023,0.5326973795890808
tome,class_0637_seed1_a_photo_of_a_mailbox.png,generated/tome/class_0637_seed1_a_photo_of_a_mailbox.png,generated/tome/class_0637_seed1_a_photo_of_a_mailbox.png,0.7072980403900146,0.2870061695575714
tome,class_0638_seed0_a_photo_of_a_maillot.png,generated/tome/class_0638_seed0_a_photo_of_a_maillot.png,generated/tome/class_0638_seed0_a_photo_of_a_maillot.png,0.2219315469264984,0.8301554918289185
tome,class_0638_seed1_a_photo_of_a_maillot.png,generated/tome/class_0638_seed1_a_photo_of_a_maillot.png,generated/tome/class_0638_seed1_a_photo_of_a_maillot.png,0.6667683124542236,0.5428860187530518
