image_name,lpips_diff_tome_minus_ours,msssim_diff_ours_minus_tome,tome_lpips,ours_lpips,tome_msssim,ours_msssim
class_0667_seed1_a_photo_of_a_mortarboard.png,0.12968343496322632,0.09617513418197632,0.5674107670783997,0.43772733211517334,0.4900609850883484,0.5862361192703247
class_0861_seed1_a_photo_of_a_toilet_seat.png,0.11537933349609375,0.07664921879768372,0.8552438020706177,0.7398644685745239,0.2957459092140198,0.3723951280117035
class_0637_seed0_a_photo_of_a_mailbox.png,0.09799766540527344,0.05294102430343628,0.5404617190361023,0.44246405363082886,0.5326973795890808,0.5856384038925171
class_0777_seed0_a_photo_of_a_scabbard.png,0.09745246171951294,0.11463937163352966,0.7555421590805054,0.6580896973609924,0.3364323079586029,0.45107167959213257
class_0215_seed0_a_photo_of_a_Brittany_spaniel.png,0.09510582685470581,0.09876203536987305,0.6965656876564026,0.6014598608016968,0.3731811046600342,0.4719431400299072
class_0814_seed0_a_photo_of_a_speedboat.png,0.09414389729499817,0.018181204795837402,0.47933515906333923,0.38519126176834106,0.6010189652442932,0.6192001700401306
class_0926_seed0_a_photo_of_a_hot_pot.png,0.08352300524711609,0.049052536487579346,0.41655251383781433,0.33302950859069824,0.6646818518638611,0.7137343883514404
class_0519_seed1_a_photo_of_a_crate.png,0.07928118109703064,0.05320841073989868,0.5379944443702698,0.45871326327323914,0.4864651560783386,0.5396735668182373
class_0596_seed0_a_photo_of_a_hatchet.png,0.07178300619125366,0.050968289375305176,0.5659669041633606,0.49418389797210693,0.5686430931091309,0.619611382484436
class_0974_seed0_a_photo_of_a_geyser.png,0.07019254565238953,0.03035271167755127,0.2959987223148346,0.22580617666244507,0.8391618728637695,0.8695145845413208
class_0780_seed1_a_photo_of_a_schooner.png,0.06377533078193665,0.053598642349243164,0.45155468583106995,0.3877793550491333,0.5951117873191833,0.6487104296684265
class_0838_seed0_a_photo_of_a_sunscreen.png,0.06193411350250244,0.030659377574920654,0.613694429397583,0.5517603158950806,0.587780237197876,0.6184396147727966
